seed,ks,mu,yield,colony,category,biggest_loser,expected,rv,cph
27355,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.027355,7.8393e-05
27355,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.01392,3.4964e-06
27355,3.5e-05,0.00028,0.61,3,Thriving,False,0.111,0.748,354.39
27355,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.014568,1.8755e-06
27355,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.039661,0.00034404
27355,3.5e-05,0.00028,0.61,6,Languishing,True,0.111,0.011193,0.0015343
27355,3.5e-05,0.00028,0.61,7,Languishing,False,0.111,0.051611,0.00016901
27355,3.5e-05,0.00028,0.61,8,Languishing,False,0.111,0.034982,0.0016916
27355,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.058714,0.0
27560,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.017451,1.4495e-05
27560,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.043557,0.00085021
27560,3.5e-05,0.00028,0.61,3,Languishing,False,0.111,0.027531,0.00017758
27560,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.025195,8.3468e-05
27560,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.019785,4.806e-05
27560,3.5e-05,0.00028,0.61,6,Surviving,True,0.111,0.014886,378.91
27560,3.5e-05,0.00028,0.61,7,Thriving,False,0.111,0.79713,2.7695e-05
27560,3.5e-05,0.00028,0.61,8,Languishing,False,0.111,0.0225,0.00029905
27560,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.031969,0.0
28070,3.5e-05,0.00028,0.61,1,Thriving,False,0.111,0.80145,372.43
28070,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.040431,0.00051313
28070,3.5e-05,0.00028,0.61,3,Languishing,True,0.111,0.014579,1.0504e-05
28070,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.027871,0.0001368
28070,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.016062,3.2947e-05
28070,3.5e-05,0.00028,0.61,6,Languishing,False,0.111,0.020712,0.00038922
28070,3.5e-05,0.00028,0.61,7,Languishing,False,0.111,0.03486,0.00029031
28070,3.5e-05,0.00028,0.61,8,Languishing,False,0.111,0.023398,0.00010604
28070,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.020636,0.0
19700101,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.014738,2.1679e-06
19700101,3.5e-05,0.00028,0.61,2,Thriving,False,0.111,0.15412,0.095781
19700101,3.5e-05,0.00028,0.61,3,Languishing,False,0.111,0.021417,1.2663e-05
19700101,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.029007,5.6118e-05
19700101,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.015351,6.7323e-06
19700101,3.5e-05,0.00028,0.61,6,Surviving,False,0.111,0.015827,372.84
19700101,3.5e-05,0.00028,0.61,7,Thriving,False,0.111,0.70756,3.3479e-06
19700101,3.5e-05,0.00028,0.61,8,Languishing,True,0.111,0.013922,0.00010447
19700101,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.028063,0.0
29061,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.018188,8.8498e-06
29061,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.04367,0.00032982
29061,3.5e-05,0.00028,0.61,3,Languishing,False,0.111,0.029837,4.3528e-05
29061,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.023096,1.447e-05
29061,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.01863,1.9277e-05
29061,3.5e-05,0.00028,0.61,6,Thriving,False,0.111,0.76762,0.0030725
29061,3.5e-05,0.00028,0.61,7,Languishing,False,0.111,0.063263,7.9624e-06
29061,3.5e-05,0.00028,0.61,8,Languishing,True,0.111,0.016121,1.3251e-05
29061,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.019581,0.0
28627,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.030484,3.2712e-05
28627,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.023225,2.3564e-05
28627,3.5e-05,0.00028,0.61,3,Thriving,False,0.111,0.69984,362.58
28627,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.023217,2.6699e-05
28627,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.023822,5.4482e-05
28627,3.5e-05,0.00028,0.61,6,Languishing,False,0.111,0.034522,0.042776
28627,3.5e-05,0.00028,0.61,7,Thriving,False,0.111,0.12517,1.5476e-05
28627,3.5e-05,0.00028,0.61,8,Languishing,False,0.111,0.023864,1.9205e-06
28627,3.5e-05,0.00028,0.61,9,Languishing,True,0.111,0.015861,0.0
27846,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.020766,1.4565e-05
27846,3.5e-05,0.00028,0.61,2,Thriving,False,0.111,0.74025,361.5
27846,3.5e-05,0.00028,0.61,3,Languishing,False,0.111,0.015282,3.0605e-06
27846,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.024898,5.1175e-05
27846,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.013073,2.5388e-06
27846,3.5e-05,0.00028,0.61,6,Thriving,False,0.111,0.12797,7.807e-06
27846,3.5e-05,0.00028,0.61,7,Languishing,True,0.111,0.012991,5.2771e-05
27846,3.5e-05,0.00028,0.61,8,Languishing,False,0.111,0.025546,1.2778e-05
27846,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.019228,0.0
28919,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.023168,0.00032999
28919,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.038457,0.0006324
28919,3.5e-05,0.00028,0.61,3,Languishing,False,0.111,0.01976,7.206e-05
28919,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.023377,2.9502e-05
28919,3.5e-05,0.00028,0.61,5,Thriving,False,0.111,0.81428,365.7
28919,3.5e-05,0.00028,0.61,6,Languishing,False,0.111,0.017385,0.00024837
28919,3.5e-05,0.00028,0.61,7,Languishing,False,0.111,0.027188,7.3653e-06
28919,3.5e-05,0.00028,0.61,8,Languishing,True,0.111,0.01363,9.9519e-05
28919,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.022754,0.0
28811,3.5e-05,0.00028,0.61,1,Thriving,False,0.111,0.19877,2.9028
28811,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.019485,1.8682e-06
28811,3.5e-05,0.00028,0.61,3,Languishing,True,0.111,0.016481,1.235e-06
28811,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.03499,3.2054e-05
28811,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.054524,0.0013774
28811,3.5e-05,0.00028,0.61,6,Languishing,False,0.111,0.03006,1.5694e-06
28811,3.5e-05,0.00028,0.61,7,Languishing,False,0.111,0.018553,4.144e-06
28811,3.5e-05,0.00028,0.61,8,Surviving,False,0.111,0.021752,347.39
28811,3.5e-05,0.00028,0.61,9,Thriving,False,0.111,0.60539,0.0
27436,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.03049,0.00043782
27436,3.5e-05,0.00028,0.61,2,Thriving,False,0.111,0.7229,371.55
27436,3.5e-05,0.00028,0.61,3,Languishing,False,0.111,0.061151,0.0023363
27436,3.5e-05,0.00028,0.61,4,Languishing,False,0.111,0.020103,5.0828e-05
27436,3.5e-05,0.00028,0.61,5,Languishing,False,0.111,0.03082,0.00035297
27436,3.5e-05,0.00028,0.61,6,Languishing,False,0.111,0.021314,0.00048487
27436,3.5e-05,0.00028,0.61,7,Languishing,False,0.111,0.042559,2.4916e-06
27436,3.5e-05,0.00028,0.61,8,Languishing,True,0.111,0.015357,0.0038065
27436,3.5e-05,0.00028,0.61,9,Languishing,False,0.111,0.055301,0.0
26034,3.5e-05,0.00028,0.61,1,Languishing,False,0.111,0.019393,3.2156e-05
26034,3.5e-05,0.00028,0.61,2,Languishing,False,0.111,0.03274,0.00017382
26034,3.5e-05,0.00028,0.61,3,Languishing,False,0.111,0.025352,0.00011607
26034,3.5e-05,0.00028,0.61,4,Languishing,True,0.111,0.017655,2.1248e-05
